,clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
0,4,1419,0,1,0,0,0,0,0,1,0,0,0,0,-0.5876789930754213,-0.5200618873466316,1.5997688054818129,-0.4573514632706873,-0.507750075472489,-0.5310023709935068
1,3,7405,0,0,0,1,0,0,0,0,1,0,0,0,0.8638909098402309,0.4405102903436744,0.6964290581100357,0.9105810498050961,0.8610196152560967,0.9470015977829933
2,1,10214,0,0,0,1,0,0,1,0,0,0,0,0,1.5469826288593616,-0.5200618873466316,0.6964290581100357,1.4955521902651343,1.450225111265091,1.38170864742314
3,2,3499,0,0,0,0,1,0,0,0,0,0,0,1,0.4583052016726223,0.783571782375927,-0.20691068926174133,0.5595983655290723,0.5800139171595,0.6716871330108998
4,3,1845,0,0,1,0,0,1,0,0,0,0,0,0,-0.6303722255141169,0.5091225887501258,-1.561920310319407,-0.574345691362695,-0.6165264747356879,-0.5310023709935068
5,5,6613,0,0,1,0,0,0,0,0,0,1,0,0,0.47965181789197014,0.1660610967178734,-0.6585805629476299,0.6225952575786152,0.6525315166682993,0.6571968980228952
6,3,2801,0,1,0,0,0,0,0,1,0,0,0,0,-0.18209328490781262,1.4010824680339804,0.24475918442414724,-0.07937011097343157,-0.10890327817409268,0.07758749850269878
7,1,1942,0,0,0,0,1,0,0,0,0,1,0,0,-0.16074666868846477,1.195245572814631,0.24475918442414724,-0.07037055496635344,-0.045450378603893886,0.092077733490704
8,4,1607,0,1,0,0,0,0,0,0,1,0,0,0,-0.5663323768560734,1.1266332744081795,-0.6585805629476299,-0.5653461353556176,-0.5258794753496884,-0.4150804910894675
9,6,9012,0,1,0,0,0,0,0,1,0,0,0,0,0.4583052016726223,0.9894086775952813,-0.6585805629476299,0.5415992535149177,0.5981433170366994,0.7006676029869089
10,1,2501,0,0,1,0,0,0,1,0,0,0,0,0,-0.11805343624976908,-1.7550832586627387,0.6964290581100357,0.1726174572247392,0.21742591961550342,-0.023844146413335272
11,4,3034,0,0,1,0,0,0,0,0,1,0,0,0,-0.20343990112716046,-0.24561269372083058,-0.20691068926174133,-0.025372774930966,-0.0001268789108937107,-0.0383343814013405
12,3,1173,0,0,0,1,0,0,1,0,0,0,0,0,-0.7157586903915082,-2.235369347507894,1.5997688054818129,-0.5653461353556176,-0.6165264747356879,-0.8208070707536043
13,4,7079,0,0,0,0,1,0,0,1,0,0,0,0,0.4583052016726223,0.5091225887501258,1.1480989317959243,0.5685979215361504,0.6162727169138996,0.6571968980228952
14,1,3812,0,0,1,0,0,0,0,1,0,0,0,0,0.24483903947914407,0.4405102903436744,-0.20691068926174133,0.4066059134087545,0.4440434180805011,0.48331407816683625
15,2,394,0,0,1,0,0,0,0,0,0,0,1,0,-1.0573045499010736,-0.31422499212728205,-0.6585805629476299,-1.2673115039076637,-1.269184870314881,-1.2844945903697613
16,7,1214,0,0,1,0,0,0,1,0,0,0,0,0,-1.0359579336817257,-0.1770003953143791,-0.6585805629476299,-1.2403128358864317,-1.2057319707446814,-1.2265336504177418
17,4,1815,0,0,0,1,0,0,0,0,1,0,0,0,-0.5876789930754213,0.5777348871565774,0.6964290581100357,-0.5563465793485396,-0.589332374919888,-0.502021901017497
18,4,2800,0,0,0,1,0,0,1,0,0,0,0,0,-0.20343990112716046,0.30328569353077633,0.24475918442414724,-0.11536833500174168,-0.06357977848109331,-0.05282461638934509
19,6,12336,0,0,0,1,0,0,0,0,0,1,0,0,1.5256360126400137,-0.7945110809724326,1.1480989317959243,1.5225508582863672,1.5136780108352905,1.38170864742314
20,1,2797,0,0,0,1,0,0,0,1,0,0,0,0,0.010026261066317996,-0.5200618873466316,-0.20691068926174133,0.2716125733025922,0.2536847193699031,0.19350937840673804
21,6,1200,0,0,1,0,0,0,0,1,0,0,0,0,-0.8865316201462908,0.30328569353077633,-0.20691068926174133,-0.9793257116811835,-0.9519203724638845,-0.922238715669639
22,4,591,0,0,0,1,0,0,0,0,0,0,0,1,-0.9505714688043344,0.30328569353077633,0.24475918442414724,-1.0693212717519585,-1.1241496712972823,-1.0526508305616828
23,2,5044,0,0,0,1,0,0,0,0,1,0,0,0,0.6077315152080572,-1.6178586618498405,1.1480989317959243,0.874582825776786,0.8156961155630974,0.6137261930588801
24,5,787,0,0,1,0,0,0,0,1,0,0,0,0,-1.099997782339769,0.30328569353077633,-2.0135901840052957,-1.3573070639784393,-1.3598318697008795,-1.3134750603457712
25,2,2194,0,0,0,1,0,0,1,0,0,0,0,0,-0.20343990112716046,0.4405102903436744,1.1480989317959243,-0.007373662916811344,-0.09077387829689326,0.005136323562674545
26,3,3217,0,0,1,0,0,1,0,0,0,0,0,0,-0.18209328490781262,0.5091225887501258,-1.1102504366335184,-0.016373218923888672,0.008937821027706003,0.06309726351469418
27,3,509,0,0,1,0,0,0,0,0,0,0,1,0,-0.9505714688043344,-0.24561269372083058,-1.1102504366335184,-1.0693212717519585,-1.0425673718498834,-1.067141065549688
28,2,675,0,0,0,1,0,0,1,0,0,0,0,0,-1.0573045499010736,-0.03977579850147615,-0.6585805629476299,-1.2943101719288965,-1.3235730699464807,-1.298984825357766
29,3,720,0,0,0,0,1,1,0,0,0,0,0,0,-0.8438383877075951,-0.8631233793788841,0.24475918442414724,-0.8713310395962532,-0.8250145733234853,-0.922238715669639
30,3,1031,0,0,1,0,0,1,0,0,0,0,0,0,-0.8011451552688996,-0.24561269372083058,-0.6585805629476299,-0.8353328155679431,-0.8068851734462859,-0.8352973057416095
31,3,1436,0,0,0,0,1,0,0,1,0,0,0,0,-0.6303722255141169,0.8521840807823784,0.24475918442414724,-0.6103439153910051,-0.589332374919888,-0.502021901017497
32,6,14525,0,0,1,0,0,0,1,0,0,0,0,0,0.714464596304796,-0.7945110809724326,-0.20691068926174133,0.8925819377909406,0.9426019147034957,0.8020992479029436
33,2,990,0,0,0,1,0,1,0,0,0,0,0,0,-0.8438383877075951,-0.31422499212728205,1.1480989317959243,-0.8803305956033305,-0.9247262726480846,-0.922238715669639
34,3,4201,0,0,0,1,0,0,0,0,0,1,0,0,0.24483903947914407,0.09744879831142192,0.6964290581100357,0.4066059134087545,0.4531081180191016,0.4398433732028212
35,3,2202,0,0,1,0,0,0,1,0,0,0,0,0,-0.48094591197868225,-0.5200618873466316,-1.561920310319407,-0.30435901115036956,-0.2720678770688915,-0.34262931614944325
36,2,5438,0,0,0,1,0,0,0,0,0,0,0,1,1.0773570720337093,0.028836499904970444,0.6964290581100357,1.1355699499820342,1.1057665135982946,1.120884417639051
37,5,10028,0,0,0,1,0,0,0,1,0,0,0,0,0.6931179800854486,0.4405102903436744,0.6964290581100357,0.7665881536918556,0.8428902153788973,0.8600601878549632
38,1,3743,0,0,0,1,0,0,1,0,0,0,0,0,0.24483903947914407,-0.10838809690792763,1.1480989317959243,0.3706076893804444,0.3352670188173021,0.3384117282867871
39,3,561,0,0,0,1,0,0,0,0,1,0,0,0,-1.0146113174623779,0.37189799193722295,0.24475918442414724,-1.2313132798793536,-1.1966672708060817,-1.1685727104657222
40,6,2716,0,0,1,0,0,0,0,1,0,0,0,0,-0.5236391444173777,-0.7945110809724326,-0.20691068926174133,-0.3583563471928343,-0.33552077663909036,-0.4295707260774721
41,0,2364,0,0,0,1,0,0,0,0,1,0,0,0,0.4583052016726223,-0.03977579850147615,2.0514386791677013,0.6135957015715379,0.5618845172822998,0.5702554880948657
42,3,1002,0,0,1,0,0,1,0,0,0,0,0,0,-0.9932647012430299,-0.7258987825659812,-0.20691068926174133,-1.1053194957802686,-1.1513437711130823,-1.1830629454537267
