Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Car,CouncilArea,Regionname,Propertycount
Abbotsford,68 Studley St,2,h,SS,Jellis,3/09/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,85 Turner St,2,h,S,Biggin,3/12/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,25 Bloomburg St,2,h,S,Biggin,4/02/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,18/659 Victoria St,3,u,VB,Rounds,4/02/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,5 Charles St,3,h,SP,Biggin,4/03/2017,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,40 Federation La,3,h,PI,Biggin,4/03/2017,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,55a Park St,4,h,VB,Nelson,4/06/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,16 Maugie St,4,h,SN,Nelson,6/08/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,53 Turner St,2,h,S,Biggin,6/08/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,99 Turner St,2,h,S,Collins,6/08/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,129 Charles St,2,h,S,Jellis,7/05/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,124 Yarra St,3,h,S,Nelson,7/05/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,121/56 Nicholson St,2,u,PI,Biggin,7/11/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,17 Raphael St,4,h,W,Biggin,7/11/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,98 Charles St,2,h,S,Nelson,8/10/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,217 Langridge St,3,h,S,Jellis,8/10/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,18a Mollison St,2,t,S,Jellis,8/10/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,6/241 Nicholson St,1,u,S,Biggin,8/10/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,10 Valiant St,2,h,S,Biggin,8/10/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,403/609 Victoria St,2,u,S,Dingle,8/10/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2 Rich St,2,h,SP,Biggin,10/12/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,25/84 Trenerry Cr,2,u,SP,Biggin,10/12/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,106/119 Turner St,1,u,SP,Purplebricks,10/12/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,411/8 Grosvenor St,2,u,VB,Jellis,12/11/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,40 Nicholson St,3,h,VB,Nelson,12/11/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,123/56 Nicholson St,2,u,S,Biggin,12/11/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,22 Park St,4,h,S,Biggin,12/11/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,13/84 Trenerry Cr,1,u,S,Biggin,12/11/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,45 William St,2,h,S,Biggin,13/08/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,7/20 Abbotsford St,1,u,SP,Greg,14/05/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,16 William St,2,h,S,Jellis,15/10/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,16/11 Nicholson St,3,u,PI,Philip,16/04/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,42 Henry St,3,h,S,Jellis,16/07/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,250 Langridge St,2,t,S,Jellis,16/07/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,16b Mollison St,2,h,PI,Biggin,16/07/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,78 Yarra St,3,h,S,LITTLE,16/07/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,196 Nicholson St,3,h,S,Collins,17/09/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,42 Valiant St,2,h,S,Biggin,17/09/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3/72 Charles St,4,h,PI,Kay,18/03/2017,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1/1 Mayfield St,3,h,SP,Nelson,18/03/2017,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,13/11 Nicholson St,3,t,S,Beller,18/03/2017,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,138/56 Nicholson St,3,u,S,Jellis,18/03/2017,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,6/219 Nicholson St,2,u,S,Collins,18/06/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,52a William St,2,h,PI,Biggin,18/06/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,49 Park St,2,h,S,Marshall,19/11/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,65/80 Trenerry Cr,1,u,S,Biggin,19/11/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,119/52 Nicholson St,1,u,S,hockingstuart,22/05/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,8b Park St,4,h,PI,Biggin,22/05/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,5/20 Abbotsford St,1,u,SP,Greg,22/08/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,48 Abbotsford St,3,h,PI,Nelson,22/08/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,116/56 Nicholson St,1,u,S,Jellis,22/08/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,159 Park St,2,h,S,Nelson,22/08/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,49/84 Trenerry Cr,2,h,S,Biggin,23/04/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,31 Turner St,4,h,S,Collins,24/09/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,17/1 Abbot St,3,t,SP,Jellis,25/02/2017,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,166 Gipps St,3,h,S,Biggin,25/02/2017,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,60 Stafford St,3,h,S,Biggin,25/02/2017,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,11/205 Gipps St,1,u,S,Nelson,26/07/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,47 Studley St,2,h,S,Jellis,27/11/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,45 Yarra St,3,h,SP,Jellis,27/11/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4/328 Johnston St,2,u,PI,Biggin,28/05/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,200 Nicholson St,2,h,S,Nelson,28/05/2016,2.5,3067.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,82/84 Trenerry Cr,2,u,SP,Biggin,28/05/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,27 Charles St,2,h,S,Biggin,30/07/2016,2.5,3067.0,1.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,22 Park St,4,h,W,Biggin,30/07/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,40/80 Trenerry Cr,3,h,S,Biggin,30/07/2016,2.5,3067.0,2.0,Yarra City Council,Northern Metropolitan,4019.0
Airport West,154 Halsey Rd,3,t,PI,Nelson,3/09/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,50 Bedford St,3,h,VB,Nelson,3/12/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,50 Bedford St,3,h,SP,Nelson,4/03/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,5 Harrington Rd,3,h,S,Brad,4/03/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,23 Hart St,2,h,S,Nelson,4/03/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/80 Hawker St,3,t,S,Brad,4/03/2017,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/37 Hillside Gr,3,h,S,Maddison,4/03/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/49 McIntosh St,2,u,VB,Barry,4/03/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4/9 West Ct,2,t,VB,Barry,4/06/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/36 York St,3,t,VB,Nelson,4/06/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,33 Bowes Av,5,h,S,Airport,6/08/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,89 Bowes Av,4,h,S,Barry,6/08/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,45 Laurence Av,4,h,S,Nelson,6/08/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,54 Marshall Rd,3,h,S,Barry,6/08/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,36 Roberts Rd,4,h,S,Considine,6/08/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,11 Harrington Rd,6,h,SP,Barry,7/05/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/252 Parer Rd,2,t,S,Barry,7/05/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3/19 Hart St,2,u,S,Barry,7/11/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,81a Roberts Rd,3,h,VB,Nelson,8/10/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/62 Clydesdale Rd,2,u,S,Nelson,10/09/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3 Deidre Ct,3,h,PI,Rendina,10/09/2016,13.5,3042.0,6.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3/24 Elstone Av,3,u,VB,Nelson,10/09/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,13 Etzel St,3,h,S,Nelson,10/12/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,37a North St,3,t,PI,Barry,10/12/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/43 Cameron St,3,u,S,Nelson,11/02/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/69 Bowes Av,3,u,VB,Nelson,12/11/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/9 El Reno Cr,3,h,PI,Ray,12/11/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,92 McNamara Av,4,h,S,Jellis,13/08/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,145a Victory Rd,2,u,S,Barry,13/08/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,20 Creswell Av,3,h,S,Barry,14/05/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,241 Parer Rd,5,h,PI,Propertyau,14/05/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,71 Bowes Av,4,h,S,Barry,15/10/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/40 Earl St,3,t,PI,Brad,15/10/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/112 Parer Rd,2,u,SP,Nelson,15/10/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,180 Parer Rd,3,h,S,Barry,16/04/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4/54 Hawker St,2,u,S,Barry,16/07/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,43 Hillside Gr,3,h,SP,Barry,16/07/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,174 Parer Rd,2,h,S,Barry,16/07/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,138 Victory Rd,3,h,S,Nelson,16/07/2016,13.5,3042.0,5.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,75 King St,3,h,S,McDonald,17/09/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,6 Kittyhawk St,4,h,S,Brad,17/09/2016,13.5,3042.0,4.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,7 McNamara Av,3,h,S,Barry,17/09/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,478 Fullarton Rd,3,h,PI,Barry,18/03/2017,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,144 Marshall Rd,3,h,S,Rendina,18/03/2017,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,106 Parer Rd,3,h,S,Nelson,18/03/2017,13.5,3042.0,3.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/41 Hillside Gr,2,t,VB,Nelson,18/06/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3/7 South Rd,3,t,SP,Nelson,18/06/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,37 North St,3,t,SP,Barry,19/11/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,10 Hilbert Rd,3,h,S,Barry,22/05/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,7/42 York St,3,u,S,Brad,22/05/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,110 Halsey Rd,3,h,S,Barry,22/08/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/13 North St,2,u,S,Nelson,22/08/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,105a Victory Rd,3,h,S,Nelson,22/08/2016,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,117 Marshall Rd,3,h,S,Brad,23/04/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,34 Moorna Dr,4,h,S,Nelson,24/09/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/89 Marshall Rd,3,u,VB,Barry,25/02/2017,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,33 North St,3,h,PI,Nelson,25/02/2017,13.5,3042.0,1.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4/40 McNamara Av,2,u,PI,Barry,26/07/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,5/93 McNamara Av,2,t,SP,Frank,26/07/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2/137 McNamara Av,3,h,S,Ray,27/06/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/46 Bowes Av,3,t,S,Barry,27/11/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/34 Elstone Av,3,u,S,McDonald,27/11/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,49 Roberts Rd,4,h,S,Prof.,27/11/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,85 Roberts Rd,4,h,S,Harcourts,27/11/2016,13.5,3042.0,3.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,22a Walters Av,3,u,S,Nelson,28/08/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,1/145 Parer Rd,3,u,PI,Nelson,30/07/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3/35 Walters Av,3,t,SP,Nelson,30/07/2016,13.5,3042.0,2.0,Moonee Valley City Council,Western Metropolitan,3464.0
Albert Park,105 Kerferd Rd,2,h,S,hockingstuart,3/09/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,85 Richardson St,2,h,S,Thomson,3/09/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,112 Beaconsfield Pde,3,h,PI,Buxton,4/03/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,94 Graham St,3,h,S,Greg,4/03/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,14 Merton St,2,h,SP,Marshall,4/03/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,396 Montague St,2,h,S,RT,4/03/2017,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,9 Boyd St,3,h,SN,Greg,6/08/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,75 Graham St,2,h,S,Marshall,6/08/2016,3.3,3206.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,54 Brooke St,2,h,S,Sotheby's,7/05/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,104 Richardson St,4,h,S,Marshall,7/05/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,81 Richardson St,3,h,S,Marshall,7/05/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4a Mills St,3,t,VB,Marshall,7/11/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,1 Moubray St,3,h,VB,Greg,7/11/2016,3.3,3206.0,1.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,114 Victoria Av,3,h,S,Cayzer,8/10/2016,3.3,3206.0,2.0,Port Phillip City Council,Southern Metropolitan,3280.0
